,clas,clas_t,reg,reg_T
35,[[0.04965605 0.48792288 0.46242112]],[[0. 1. 0.]],[[41.494335]],[40]
36,[[0.12816995 0.45652765 0.4153024 ]],[[0. 1. 0.]],[[25.572222]],[12]
37,[[0.05245864 0.50806534 0.439476  ]],[[0. 0. 1.]],[[40.025013]],[50]
38,[[0.19160356 0.4187627  0.38963372]],[[0. 0. 1.]],[[19.035036]],[12]
39,[[9.999994e-01 9.622481e-08 5.097453e-07]],[[1. 0. 0.]],[[-1.]],[0]
40,[[0.6924679  0.12247416 0.18505785]],[[1. 0. 0.]],[[-1.]],[0]
41,[[0.10671242 0.44956717 0.44372043]],[[0. 1. 0.]],[[32.615334]],[56]
42,[[0.11599658 0.46645972 0.41754368]],[[0. 1. 0.]],[[26.956615]],[30]
43,[[0.15101835 0.4377997  0.411182  ]],[[1. 0. 0.]],[[22.54594]],[0]
44,[[0.09150971 0.48578337 0.42270693]],[[0. 0. 1.]],[[31.14867]],[36]
45,[[0.9304687  0.02991966 0.03961165]],[[1. 0. 0.]],[[-1.]],[0]
46,[[0.07740682 0.48767167 0.4349216 ]],[[0. 1. 0.]],[[31.21898]],[28]
47,[[0.10748837 0.467276   0.42523563]],[[0. 0. 1.]],[[27.85177]],[24]
48,[[0.02462709 0.5096015  0.4657715 ]],[[0. 0. 1.]],[[52.245285]],[36]
49,[[0.71358323 0.1361763  0.1502405 ]],[[1. 0. 0.]],[[-0.78519607]],[0]
50,[[1.0000000e+00 2.1579899e-10 1.8793203e-09]],[[1. 0. 0.]],[[-1.]],[0]
51,[[0.09421132 0.4755823  0.43020633]],[[0. 1. 0.]],[[29.466751]],[14]
52,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
53,[[0.0625532  0.49156162 0.44588524]],[[0. 1. 0.]],[[35.341263]],[27]
54,[[0.5544102  0.24094358 0.20464623]],[[0. 1. 0.]],[[-1.]],[36]
55,[[0.03845081 0.4956983  0.46585086]],[[0. 0. 1.]],[[49.716007]],[48]
56,[[0.04690946 0.47192565 0.4811648 ]],[[1. 0. 0.]],[[45.700096]],[0]
57,[[0.55517566 0.24307542 0.20174888]],[[1. 0. 0.]],[[0.31934518]],[0]
58,[[0.1123297  0.46667436 0.420996  ]],[[0. 0. 1.]],[[27.167322]],[20]
59,[[0.07340743 0.46990022 0.45669234]],[[0. 1. 0.]],[[35.28747]],[27]
60,[[0.9702316  0.01500627 0.01476215]],[[1. 0. 0.]],[[-1.]],[0]
61,[[0.08886349 0.47052553 0.44061103]],[[0. 1. 0.]],[[31.085424]],[20]
62,[[0.80448633 0.09409264 0.10142106]],[[1. 0. 0.]],[[-0.999979]],[0]
63,[[0.02487087 0.5494941  0.42563504]],[[0. 0. 1.]],[[49.691696]],[98]
64,[[0.09569728 0.47603238 0.42827028]],[[0. 1. 0.]],[[29.177767]],[44]
65,[[0.06829111 0.50057894 0.43112987]],[[0. 1. 0.]],[[36.42496]],[44]
66,[[0.05031454 0.47598362 0.4737018 ]],[[0. 1. 0.]],[[43.55465]],[68]
67,[[0.21066456 0.41555712 0.3737783 ]],[[0. 1. 0.]],[[18.442219]],[10]
68,[[0.261357   0.374645   0.36399797]],[[1. 0. 0.]],[[14.8321085]],[0]
69,[[0.10857209 0.47972888 0.411699  ]],[[0. 0. 1.]],[[27.115534]],[24]
70,[[0.13376635 0.46579245 0.40044123]],[[0. 1. 0.]],[[25.983114]],[38]
71,[[0.05730251 0.50035125 0.4423462 ]],[[0. 0. 1.]],[[38.198177]],[30]
72,[[0.92716336 0.02387491 0.04896165]],[[1. 0. 0.]],[[-1.]],[0]
73,[[0.03000104 0.46834213 0.50165683]],[[1. 0. 0.]],[[3.5516694]],[0]
74,[[0.9199292  0.0356073  0.04446349]],[[1. 0. 0.]],[[-0.99999684]],[0]
75,[[0.1648367  0.43448567 0.40067756]],[[1. 0. 0.]],[[22.045952]],[0]
76,[[0.10577624 0.46101508 0.43320873]],[[0. 0. 1.]],[[28.649046]],[24]
77,[[0.01229195 0.49886551 0.48884252]],[[0. 0. 1.]],[[66.81101]],[68]
78,[[0.08037528 0.4784057  0.44121897]],[[0. 1. 0.]],[[32.109833]],[26]
79,[[0.0671455  0.48271778 0.45013672]],[[1. 0. 0.]],[[36.305107]],[0]
80,[[0.9201663  0.03670404 0.04312965]],[[1. 0. 0.]],[[-1.]],[0]
81,[[0.94617856 0.02600074 0.02782068]],[[1. 0. 0.]],[[-1.]],[0]
82,[[0.8377886 0.0909741 0.0712373]],[[1. 0. 0.]],[[-0.9999906]],[0]
83,[[0.07382964 0.49287435 0.43329597]],[[0. 1. 0.]],[[31.998634]],[20]
84,[[0.05086372 0.48460272 0.46453357]],[[0. 0. 1.]],[[40.190678]],[56]
85,[[0.86479753 0.05094745 0.08425501]],[[1. 0. 0.]],[[-1.]],[0]
86,[[0.86430436 0.04887414 0.08682144]],[[0. 0. 1.]],[[-1.]],[8]
87,[[0.99694    0.00187171 0.00118832]],[[1. 0. 0.]],[[-1.]],[0]
88,[[0.04205624 0.48694408 0.4709997 ]],[[0. 1. 0.]],[[44.08796]],[32]
89,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
90,[[0.35681486 0.3212927  0.32189247]],[[1. 0. 0.]],[[4.760184]],[0]
91,[[0.10355205 0.48633182 0.4101161 ]],[[0. 1. 0.]],[[27.041147]],[18]
92,[[0.18822429 0.4179107  0.39386502]],[[0. 0. 1.]],[[18.06328]],[12]
93,[[0.21905182 0.3984311  0.3825171 ]],[[0. 1. 0.]],[[20.182024]],[40]
94,[[0.0695293  0.46839908 0.46207163]],[[0. 0. 1.]],[[32.999886]],[28]
95,[[0.99193585 0.00357484 0.00448924]],[[1. 0. 0.]],[[-1.]],[0]
96,[[0.16139294 0.42069328 0.41791382]],[[0. 1. 0.]],[[27.74672]],[28]
97,[[0.7178232  0.10079146 0.1813853 ]],[[1. 0. 0.]],[[-1.]],[0]
98,[[0.14501317 0.43467808 0.42030877]],[[0. 0. 1.]],[[21.35363]],[14]
99,[[0.09741904 0.46591595 0.43666506]],[[0. 0. 1.]],[[29.024817]],[26]
100,[[0.15467027 0.4416871  0.4036426 ]],[[0. 1. 0.]],[[22.207952]],[10]
101,[[0.72542757 0.092551   0.18202144]],[[1. 0. 0.]],[[-1.]],[0]
102,[[0.07328268 0.48523158 0.44148564]],[[0. 1. 0.]],[[33.264057]],[36]
103,[[0.08661718 0.4757428  0.43764004]],[[0. 1. 0.]],[[30.022226]],[14]
104,[[0.5438268  0.22981739 0.22635576]],[[1. 0. 0.]],[[3.182771]],[0]
105,[[0.16135126 0.4275257  0.411123  ]],[[0. 1. 0.]],[[22.159132]],[32]
106,[[0.12093853 0.45070845 0.42835304]],[[0. 0. 1.]],[[25.383497]],[10]
107,[[0.90419513 0.03881923 0.05698564]],[[1. 0. 0.]],[[-1.]],[0]
108,[[0.1257727  0.46786103 0.40636626]],[[0. 1. 0.]],[[26.786087]],[24]
109,[[0.06756816 0.48717842 0.4452535 ]],[[0. 0. 1.]],[[34.96065]],[44]
110,[[0.10884392 0.50945574 0.38170034]],[[0. 1. 0.]],[[27.58302]],[18]
111,[[0.1036292  0.46913916 0.4272317 ]],[[0. 0. 1.]],[[26.87481]],[28]
112,[[0.05378437 0.49771994 0.44849572]],[[0. 0. 1.]],[[36.49018]],[34]
113,[[0.08007079 0.48272145 0.43720782]],[[0. 1. 0.]],[[31.058405]],[28]
114,[[0.987992   0.00406741 0.00794053]],[[1. 0. 0.]],[[-1.]],[0]
115,[[0.04959688 0.49592987 0.45447326]],[[0. 0. 1.]],[[41.3332]],[92]
116,[[0.12567441 0.45731232 0.41701326]],[[1. 0. 0.]],[[23.92074]],[0]
117,[[0.7744113  0.10782344 0.11776528]],[[1. 0. 0.]],[[-0.9959492]],[0]
118,[[0.9078132  0.04716381 0.04502304]],[[1. 0. 0.]],[[-1.]],[0]
119,[[0.0963461  0.47080117 0.43285275]],[[0. 0. 1.]],[[28.745426]],[40]
120,[[0.9690067  0.01350651 0.01748672]],[[1. 0. 0.]],[[-1.]],[0]
121,[[0.19936888 0.4088477  0.39178336]],[[0. 1. 0.]],[[18.75073]],[16]
122,[[0.34762174 0.34233406 0.3100442 ]],[[1. 0. 0.]],[[7.2540264]],[0]
123,[[0.3495465  0.34551775 0.30493575]],[[1. 0. 0.]],[[5.8809376]],[0]
124,[[0.857729   0.06470251 0.07756841]],[[1. 0. 0.]],[[-0.99967223]],[0]
125,[[0.03551583 0.5215692  0.442915  ]],[[0. 0. 1.]],[[43.586926]],[32]
126,[[0.08709511 0.4943731  0.4185318 ]],[[1. 0. 0.]],[[30.566246]],[0]
127,[[0.21404976 0.4057064  0.38024378]],[[0. 1. 0.]],[[18.016672]],[21]
128,[[0.35806885 0.32688507 0.31504607]],[[0. 1. 0.]],[[6.9901443]],[12]
129,[[0.00405594 0.5093067  0.48663735]],[[0. 1. 0.]],[[72.428406]],[64]
130,[[0.7163043  0.14683123 0.13686453]],[[1. 0. 0.]],[[-0.99995184]],[0]
131,[[0.10884392 0.50945574 0.38170034]],[[0. 0. 1.]],[[27.58302]],[30]
132,[[0.17168066 0.42794022 0.40037912]],[[0. 1. 0.]],[[21.543589]],[18]
133,[[0.92155933 0.03695603 0.04148467]],[[1. 0. 0.]],[[-1.]],[0]
134,[[0.10312051 0.45917434 0.4377052 ]],[[0. 0. 1.]],[[27.272858]],[28]
135,[[0.10997773 0.48504198 0.4049803 ]],[[0. 0. 1.]],[[27.99398]],[60]
136,[[0.20534785 0.41275078 0.38190135]],[[1. 0. 0.]],[[17.296314]],[0]
137,[[0.91427916 0.03417094 0.05154989]],[[1. 0. 0.]],[[-1.]],[0]
138,[[0.15820654 0.43587244 0.40592104]],[[0. 1. 0.]],[[22.862103]],[24]
139,[[0.12837617 0.44982275 0.42180103]],[[0. 1. 0.]],[[24.596712]],[24]
140,[[0.08925037 0.49803296 0.41271666]],[[0. 0. 1.]],[[29.858534]],[26]
141,[[0.07330932 0.4874588  0.4392318 ]],[[0. 0. 1.]],[[33.742134]],[36]
142,[[0.0602233 0.4811582 0.4586185]],[[0. 0. 1.]],[[36.427933]],[20]
143,[[0.05228953 0.4797422  0.46796829]],[[0. 1. 0.]],[[39.934036]],[24]
144,[[0.23858449 0.39496505 0.36645046]],[[0. 1. 0.]],[[15.5422535]],[52]
145,[[0.32584718 0.34129855 0.33285427]],[[0. 0. 1.]],[[9.324803]],[8]
146,[[0.07136305 0.47719854 0.4514384 ]],[[0. 1. 0.]],[[34.6058]],[28]
147,[[0.07816959 0.47820848 0.44362193]],[[0. 0. 1.]],[[32.085365]],[24]
148,[[0.0770562  0.48873132 0.43421254]],[[0. 0. 1.]],[[32.368385]],[21]
149,[[0.9757329  0.01157893 0.01268816]],[[1. 0. 0.]],[[-1.]],[0]
150,[[0.12455201 0.46055087 0.41489705]],[[0. 0. 1.]],[[25.618774]],[30]
151,[[0.53002715 0.24767652 0.22229627]],[[1. 0. 0.]],[[1.0546503]],[0]
152,[[0.2180248  0.41289318 0.36908203]],[[1. 0. 0.]],[[17.764816]],[0]
153,[[0.10192977 0.46375987 0.43431038]],[[0. 1. 0.]],[[28.310907]],[24]
154,[[0.9351345  0.02908975 0.03577577]],[[1. 0. 0.]],[[-1.]],[0]
155,[[0.329388   0.34344566 0.3271663 ]],[[1. 0. 0.]],[[11.231078]],[0]
156,[[0.10438251 0.46500617 0.43061137]],[[0. 1. 0.]],[[26.215563]],[20]
157,[[0.06698184 0.4960095  0.43700865]],[[0. 1. 0.]],[[33.50206]],[28]
158,[[0.96164495 0.01386346 0.02449147]],[[1. 0. 0.]],[[-1.]],[0]
159,[[0.02966722 0.48905483 0.48127794]],[[0. 0. 1.]],[[49.73994]],[56]
160,[[0.98074406 0.00751714 0.01173886]],[[1. 0. 0.]],[[-1.]],[0]
161,[[0.975721   0.01141647 0.01286254]],[[1. 0. 0.]],[[-1.]],[0]
162,[[0.14485018 0.46041316 0.39473674]],[[0. 0. 1.]],[[24.431416]],[40]
163,[[0.0853592  0.47878575 0.43585506]],[[0. 0. 1.]],[[32.637066]],[24]
164,[[0.09407254 0.47305453 0.43287295]],[[0. 1. 0.]],[[29.901169]],[36]
165,[[0.0000000e+00 1.2930402e-30 1.0000000e+00]],[[0. 0. 1.]],[[6539.0957]],[840]
166,[[0.05968653 0.48918906 0.45112443]],[[0. 0. 1.]],[[38.25904]],[90]
167,[[0.2006888  0.4273637  0.37194753]],[[1. 0. 0.]],[[24.870897]],[0]
168,[[0.36637837 0.34010842 0.29351327]],[[0. 1. 0.]],[[9.623927]],[8]
169,[[0.11228673 0.4737892  0.41392404]],[[0. 0. 1.]],[[27.386833]],[12]
170,[[0.9837077  0.00690039 0.0093919 ]],[[1. 0. 0.]],[[-1.]],[0]
171,[[0.034639   0.4928611  0.47249997]],[[0. 1. 0.]],[[50.570923]],[40]
172,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
173,[[0.07179546 0.48667213 0.44153237]],[[0. 0. 1.]],[[32.127033]],[28]
174,[[0.04842805 0.5060929  0.44547904]],[[0. 0. 1.]],[[38.199078]],[38]
175,[[0.38899747 0.31521612 0.29578638]],[[1. 0. 0.]],[[10.826348]],[0]
176,[[0.08678147 0.4638437  0.44937482]],[[0. 0. 1.]],[[33.24836]],[12]
177,[[0.11012331 0.46331555 0.42656118]],[[0. 0. 1.]],[[27.772745]],[22]
178,[[0.5649554  0.1851755  0.24986914]],[[1. 0. 0.]],[[-1.]],[0]
179,[[1.0000000e+00 6.0946845e-11 7.8174245e-10]],[[1. 0. 0.]],[[-1.]],[0]
180,[[0.1114377  0.45783582 0.4307265 ]],[[0. 1. 0.]],[[27.43925]],[16]
181,[[0.11211941 0.4724862  0.41539437]],[[0. 1. 0.]],[[26.843678]],[20]
182,[[0.00914067 0.50796556 0.48289376]],[[1. 0. 0.]],[[50.224384]],[0]
183,[[0.09809442 0.4683586  0.43354696]],[[0. 1. 0.]],[[28.528082]],[20]
184,[[0.97851574 0.00910809 0.01237609]],[[1. 0. 0.]],[[-1.]],[0]
185,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
186,[[0.09780344 0.48419032 0.4180062 ]],[[0. 1. 0.]],[[28.054058]],[27]
187,[[0.14802694 0.44765595 0.40431714]],[[0. 0. 1.]],[[23.634373]],[6]
188,[[0.06202096 0.48114958 0.45682946]],[[0. 1. 0.]],[[36.444862]],[40]
189,[[0.27109343 0.3463687  0.3825379 ]],[[0. 0. 1.]],[[7.624295]],[10]
190,[[0.08183144 0.4714162  0.4467524 ]],[[0. 0. 1.]],[[33.37175]],[48]
191,[[0.26469177 0.38537782 0.34993044]],[[0. 1. 0.]],[[14.79066]],[4]
192,[[0.26293418 0.379164   0.35790184]],[[0. 0. 1.]],[[17.104677]],[28]
193,[[0.0611477  0.49593338 0.44291896]],[[0. 1. 0.]],[[35.692547]],[16]
194,[[0.24344656 0.39657232 0.3599811 ]],[[0. 1. 0.]],[[15.390472]],[12]
195,[[0.05936563 0.4851651  0.45546934]],[[0. 1. 0.]],[[41.65348]],[56]
196,[[0.09366677 0.47681877 0.42951447]],[[0. 1. 0.]],[[30.105923]],[28]
197,[[0.02837544 0.4872217  0.4844029 ]],[[0. 0. 1.]],[[41.4964]],[76]
198,[[0.12729181 0.44382817 0.42888007]],[[0. 0. 1.]],[[24.491575]],[14]
199,[[0.1043087  0.4575562  0.43813518]],[[0. 0. 1.]],[[28.238483]],[40]
200,[[0.1103385  0.48422983 0.4054317 ]],[[0. 1. 0.]],[[28.658781]],[24]
201,[[0.12795389 0.45100027 0.42104584]],[[0. 0. 1.]],[[24.734362]],[16]
202,[[0.01055193 0.52379966 0.46564844]],[[0. 0. 1.]],[[56.7172]],[32]
203,[[0.18520604 0.5595178  0.25527614]],[[1. 0. 0.]],[[26.38543]],[0]
204,[[0.04770702 0.4701787  0.4821143 ]],[[0. 1. 0.]],[[41.562325]],[28]
205,[[0.11506541 0.47547513 0.4094594 ]],[[0. 1. 0.]],[[27.436491]],[20]
206,[[0.11861368 0.46053186 0.42085442]],[[0. 0. 1.]],[[26.484125]],[20]
207,[[0.14465941 0.44593874 0.40940183]],[[0. 0. 1.]],[[23.757002]],[6]
208,[[0.76771766 0.10990518 0.1223772 ]],[[1. 0. 0.]],[[-0.97434306]],[0]
209,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
210,[[0.6645045  0.13771224 0.1977833 ]],[[1. 0. 0.]],[[-1.]],[0]
211,[[0.94163585 0.02592003 0.03244413]],[[1. 0. 0.]],[[-1.]],[0]
212,[[0.113235   0.45296425 0.4338008 ]],[[0. 0. 1.]],[[26.405313]],[40]
213,[[0.20767404 0.40690127 0.38542464]],[[0. 1. 0.]],[[19.147005]],[26]
214,[[0.10453787 0.4866831  0.40877905]],[[0. 1. 0.]],[[27.874279]],[48]
215,[[0.12757291 0.4561242  0.41630295]],[[0. 0. 1.]],[[25.268557]],[12]
216,[[0.17044462 0.43893513 0.39062026]],[[0. 1. 0.]],[[21.902931]],[24]
217,[[0.09930217 0.47407246 0.42662537]],[[0. 1. 0.]],[[28.477137]],[14]
218,[[0.17354095 0.43548226 0.39097673]],[[1. 0. 0.]],[[21.799303]],[0]
219,[[0.05390379 0.49328142 0.4528148 ]],[[0. 1. 0.]],[[37.686863]],[96]
220,[[0.9145715  0.04197877 0.04344968]],[[1. 0. 0.]],[[-1.]],[0]
221,[[0.09385526 0.44792745 0.4582173 ]],[[1. 0. 0.]],[[33.407192]],[0]
222,[[0.69067323 0.14993957 0.15938713]],[[1. 0. 0.]],[[-0.68643355]],[0]
223,[[0.07172032 0.48848993 0.43978974]],[[0. 0. 1.]],[[31.943071]],[14]
224,[[0.8691583  0.05460542 0.07623617]],[[1. 0. 0.]],[[-1.]],[0]
225,[[0.23541446 0.3936079  0.3709777 ]],[[0. 1. 0.]],[[17.74264]],[20]
226,[[0.04643857 0.4775759  0.47598556]],[[1. 0. 0.]],[[44.504055]],[0]
227,[[0.69029564 0.14821799 0.16148634]],[[1. 0. 0.]],[[-0.5323949]],[0]
228,[[0.11529332 0.45031062 0.43439606]],[[0. 1. 0.]],[[25.410004]],[18]
229,[[0.21201992 0.40115994 0.3868201 ]],[[0. 0. 1.]],[[17.894394]],[6]
230,[[0.5600752  0.23547941 0.20444538]],[[1. 0. 0.]],[[0.24813432]],[0]
231,[[0.97850686 0.01004462 0.01144857]],[[1. 0. 0.]],[[-1.]],[0]
232,[[0.03114828 0.48479638 0.48405534]],[[1. 0. 0.]],[[48.327953]],[0]
233,[[0.07943894 0.4753069  0.44525412]],[[0. 1. 0.]],[[31.804537]],[42]
234,[[0.11954474 0.4584526  0.4220027 ]],[[0. 0. 1.]],[[24.642813]],[24]
235,[[0.10279155 0.46305218 0.4341562 ]],[[1. 0. 0.]],[[32.11718]],[0]
236,[[0.1064282  0.46713173 0.42644006]],[[1. 0. 0.]],[[27.2677]],[0]
237,[[0.98025805 0.00788549 0.01185642]],[[1. 0. 0.]],[[-1.]],[0]
238,[[0.09411836 0.47654384 0.4293378 ]],[[0. 1. 0.]],[[29.585114]],[12]
239,[[0.25314152 0.36348775 0.3833708 ]],[[1. 0. 0.]],[[20.347895]],[0]
240,[[0.08999641 0.48197505 0.42802855]],[[0. 0. 1.]],[[29.25295]],[17]
241,[[0.05677451 0.48272118 0.4605043 ]],[[0. 1. 0.]],[[36.529446]],[18]
242,[[0.13890818 0.45377642 0.4073154 ]],[[0. 1. 0.]],[[24.35426]],[14]
243,[[0.6747767  0.17482866 0.1503947 ]],[[1. 0. 0.]],[[-0.99882406]],[0]
244,[[0.07564687 0.48780635 0.43654683]],[[0. 0. 1.]],[[33.18725]],[68]
245,[[0.21712871 0.40981364 0.3730576 ]],[[0. 0. 1.]],[[18.066122]],[20]
246,[[0.02582214 0.49021155 0.48396632]],[[0. 1. 0.]],[[59.220318]],[100]
247,[[0.15489995 0.4385934  0.40650663]],[[1. 0. 0.]],[[22.041447]],[0]
248,[[0.07400225 0.4828357  0.44316208]],[[0. 1. 0.]],[[34.292046]],[40]
249,[[1.0000000e+00 2.8341526e-10 2.4667604e-09]],[[1. 0. 0.]],[[-1.]],[0]
250,[[0.46564656 0.21280405 0.32154933]],[[1. 0. 0.]],[[-1.]],[0]
251,[[0.21313027 0.40596706 0.38090265]],[[1. 0. 0.]],[[17.715384]],[0]
252,[[0.0855827  0.4741335  0.44028378]],[[0. 1. 0.]],[[30.528784]],[14]
253,[[0.06503628 0.4964225  0.43854123]],[[0. 0. 1.]],[[34.520172]],[18]
254,[[0.07792772 0.47427216 0.4478002 ]],[[0. 0. 1.]],[[32.983418]],[64]
255,[[0.22920597 0.39680737 0.37398663]],[[1. 0. 0.]],[[20.575974]],[0]
256,[[0.10438303 0.48998466 0.4056324 ]],[[0. 1. 0.]],[[28.745417]],[80]
257,[[0.12313834 0.4703564  0.4065053 ]],[[0. 1. 0.]],[[26.784748]],[10]
258,[[0.83299    0.08261259 0.08439751]],[[1. 0. 0.]],[[-1.]],[0]
259,[[0.06564276 0.48362058 0.4507366 ]],[[0. 0. 1.]],[[34.74433]],[28]
260,[[0.07112457 0.48211548 0.44675997]],[[0. 0. 1.]],[[32.48297]],[52]
261,[[0.06756816 0.48717842 0.4452535 ]],[[0. 1. 0.]],[[34.96065]],[36]
262,[[0.01715657 0.53886783 0.44397566]],[[0. 1. 0.]],[[52.034393]],[48]
263,[[0.9055608  0.03274428 0.06169485]],[[1. 0. 0.]],[[-1.]],[0]
264,[[0.17431575 0.41266134 0.41302294]],[[0. 0. 1.]],[[16.67848]],[10]
265,[[0.09276146 0.48553866 0.42169985]],[[0. 1. 0.]],[[30.541826]],[14]
266,[[0.09782732 0.49792936 0.40424338]],[[0. 0. 1.]],[[29.01324]],[40]
267,[[0.10643865 0.4972672  0.3962942 ]],[[0. 0. 1.]],[[28.929104]],[38]
268,[[0.10949579 0.4639547  0.42654952]],[[0. 0. 1.]],[[26.615166]],[8]
269,[[0.9542529  0.02102995 0.02471717]],[[1. 0. 0.]],[[-1.]],[0]
270,[[0.04270756 0.48707363 0.4702188 ]],[[0. 0. 1.]],[[42.952065]],[16]
271,[[0.08073736 0.4908879  0.4283747 ]],[[0. 1. 0.]],[[33.546803]],[52]
272,[[0.88208455 0.04181522 0.07610025]],[[1. 0. 0.]],[[-1.]],[0]
273,[[0.16687651 0.44256786 0.3905557 ]],[[0. 0. 1.]],[[21.101572]],[26]
274,[[1.0000000e+00 1.1213599e-11 1.1398017e-10]],[[1. 0. 0.]],[[-1.]],[0]
275,[[0.12600517 0.45874003 0.41525483]],[[0. 0. 1.]],[[24.397202]],[26]
276,[[0.09317449 0.4716431  0.43518245]],[[0. 0. 1.]],[[29.166906]],[26]
277,[[0.02325285 0.48621377 0.4905334 ]],[[0. 1. 0.]],[[54.2339]],[38]
278,[[0.15664414 0.4410045  0.40235138]],[[0. 0. 1.]],[[22.363699]],[23]
279,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
280,[[0.07797705 0.48941368 0.4326093 ]],[[0. 0. 1.]],[[32.053226]],[20]
281,[[0.17833991 0.44440418 0.3772559 ]],[[0. 1. 0.]],[[20.436989]],[12]
282,[[0.10472228 0.48409364 0.4111841 ]],[[0. 1. 0.]],[[27.293438]],[14]
283,[[0.09198121 0.49431124 0.41370764]],[[0. 0. 1.]],[[28.594994]],[86]
284,[[0.08120846 0.47637472 0.44241688]],[[0. 1. 0.]],[[30.614323]],[26]
285,[[0.01143939 0.5110929  0.4774677 ]],[[0. 0. 1.]],[[65.58049]],[42]
286,[[0.03442121 0.50395167 0.4616271 ]],[[0. 1. 0.]],[[48.08259]],[36]
287,[[0.10476618 0.4615899  0.43364394]],[[1. 0. 0.]],[[28.596554]],[0]
288,[[0.10367367 0.46348286 0.43284342]],[[0. 0. 1.]],[[28.712688]],[42]
289,[[0.13045777 0.4596981  0.40984413]],[[0. 1. 0.]],[[23.93163]],[18]
290,[[0.8766233  0.06435568 0.05902107]],[[1. 0. 0.]],[[-1.]],[0]
291,[[0.96634054 0.01677437 0.01688503]],[[1. 0. 0.]],[[-1.]],[0]
292,[[0.05553688 0.5001537  0.4443094 ]],[[0. 0. 1.]],[[36.98905]],[56]
